"id_no","binomial","area","lotic","lentic","lentic_only","length","importance","marine","FoodTroph","foodtrophcat","climate_zone","code"
285,"Strongylura marina",2595.35254533741,1,0,0,111,"minor commercial",1,3.78,"Carni.",2,"LC"
2266,"Haplochromis tanaos",70029.8147067808,0,1,1,7.69999980926514,NA,0,NA,NA,1,"LC"
2267,"Epiplatys grahami",169129.266936742,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2272,"Protomelas fenestratus",4694.31397546243,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2273,"Mastacembelus moorii",33012.5919769452,1,1,0,44,"minor commercial",0,4.2,"Carni.",1,"LC"
2275,"Taenioides cirratus",4104.71705795499,1,0,0,30,"of no interest",1,3.85999989509583,"Carni.",1,"DD"
2276,"Oreochromis amphimelas",33855.7689594522,0,1,1,28,NA,0,NA,NA,2,"EN"
2278,"Mochokus niloticus",532413.855052162,1,1,0,NA,NA,NA,NA,NA,2,"LC"
2279,"Nannocharax altus",25772.1189682281,NA,NA,0,NA,NA,NA,NA,NA,1,"EN"
2280,"Aphyosemion christyi",133549.293363527,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2281,"Glossogobius callidus",676443.788884807,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2282,"Stigmatochromis modestus",4694.31397546243,0,1,1,25,"commercial",0,4.2,"Carni.",1,"LC"
2287,"Eleotris fusca",717276.543940615,1,1,0,26,"minor commercial",1,3.62,"Carni.",1,"LC"
2288,"Aphyosemion passaroi",7398.35485791959,1,0,0,NA,NA,NA,NA,NA,1,"EN"
2289,"Gobiocichla ethelwynnae",7365.08427734965,1,0,0,7,NA,0,2,"Herbi.",1,"EN"
2290,"Enteromius catenarius",9444.38502199769,NA,NA,0,NA,NA,NA,NA,NA,1,"DD"
2293,"Ivindomyrus marchei",222296.187114612,NA,NA,0,NA,NA,NA,NA,NA,1,"LC"
2295,"Cromeria nilotica",123272.320133957,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2298,"Gephyroglanis habereri",49413.0101037181,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2305,"Chiloglanis ruziziensis",10399.5848388487,1,0,0,NA,NA,NA,NA,NA,1,"CR"
2307,"Xenotilapia sima",33012.5919769452,0,1,1,16.3999996185303,"commercial",0,NA,NA,1,"LC"
2311,"Cyphomyrus psittacus",1195234.87341727,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2313,"Synodontis polystigma",88828.5106536822,1,1,0,NA,NA,NA,NA,NA,3,"LC"
2320,"Chrysichthys mabusi",234857.588413762,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2322,"Chindongo socolofi",168.137754261711,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2328,"Pseudomugil tenellus",2430.2420310998,1,1,0,NA,NA,NA,NA,NA,2,"LC"
2333,"Giuris margaritacea",240929.668571871,NA,NA,0,NA,NA,NA,NA,NA,1,NA
2337,"Oreochromis mossambicus",999783.127480853,1,1,0,39,"highly commercial",0,2.77,"Omni.",2,"VU"
2338,"Tylochromis regani",48127.136013045,1,1,0,27.5,NA,0,2.58,"Omni.",1,"NT"
2341,"Chelon labrosus",282588.657803412,1,1,0,75,"commercial",1,2.59,"Omni.",2,"LC"
2343,"Engraulicypris gariepinus",39738.0554974965,1,0,0,4.65999984741211,NA,0,NA,NA,2,"LC"
2347,"Enteromius greenwoodi",4373.95759775266,1,1,0,NA,NA,NA,NA,NA,3,"DD"
2349,"Synodontis batensoda",2118484.06513364,1,1,0,28.6000003814697,"commercial",0,2.84,"Carni.",2,"LC"
2351,"Parauchenoglanis balayi",1492532.90522985,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2352,"Tilapia ruweti",606353.607679287,1,1,0,10.3999996185303,"commercial",0,2.43,"Omni.",3,"LC"
2353,"Clarias buthupogon",1595656.01970499,1,1,0,34.0999984741211,NA,0,3.25,"Carni.",1,"LC"
2354,"Ambassis urotaenia",10672.138026065,1,1,0,14,NA,1,NA,NA,3,"LC"
2356,"Orthochromis kalungwishiensis",15359.6835289211,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2357,"Neolamprologus christyi",34890.675799273,0,1,1,15," ",0,3.27,"Carni.",1,"VU"
2359,"Trachyglanis sanghensis",4815.18161867641,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2362,"Protomelas taeniolatus",4694.31397546243,0,1,1,11.3000001907349,"commercial",0,3.21,"Carni.",1,"LC"
