"id_no","Qmi_2.5%","Qma_100.0%","Qzf_97.5%","Qcv_2.5%","Qcv_97.5%","Tma_97.5%","Tmi_2.5%","Tcv_2.5%","Tcv_97.5%","binomial","area","lotic","lentic","lentic_only","length","importance","marine","FoodTroph","foodtrophcat","climate_zone","code","no_cells"
"10000",0,3919.5419921875,44,0.845500016212463,3.45050008296966,302.935089111328,290.580908203125,0.00700000021606684,0.00969999972730875,"Docimodus evelynae",4694.31397546243,0,1,1,20.1000003814697,"commercial",0,3.38,"Carni.",1,"LC",53
"10001",1631.27001953125,4861.49609375,0,0.386999994516373,0.386999994516373,297.130004882812,295.367004394531,0.0020000000949949,0.0020000000949949,"Haplochromis parorthostoma",75275.99539497,0,1,1,NA,NA,NA,NA,NA,1,"DD",862
"10003",0,7621.01513671875,32.425,0.100000001490116,1.65722503364086,306.251084136963,293.279801177979,0.00400000018998981,0.00899999961256981,"Synodontis ouemeensis",136372.584542648,1,1,0,NA,NA,NA,NA,NA,1,"LC",1424
"10005",0,557.197998046875,38.775,0.71104997843504,3.35279997587204,303.258168792725,292.079552459717,0.00400000018998981,0.00899999961256981,"Acentrogobius nebulosus",3834.52075646902,1,0,0,18,NA,1,NA,NA,1,NA,44
"10008",0.0026250000228174,14403.857421875,34.125,0.184000000357628,1.71499997377396,301.959125518799,295.309627532959,0.00300000002607703,0.00499999988824129,"Psammphiletria nasuta",6519.22319489193,1,1,0,NA,NA,NA,NA,NA,1,"DD",76
"10009",0,37903.6640625,42,0.246999993920326,2.59677489995956,301.75465927124,295.592575836182,0.0020000000949949,0.00400000018998981,"Stomatorhinus humilior",272895.210147625,1,1,0,NA,NA,NA,NA,NA,1,"LC",2810
"10013",0,13379.673828125,40,0.144749995321035,2.79849994182587,308.636993408203,285.173004150391,0.0020000000949949,0.0179999992251396,"Mormyrus kannume",551290.983925896,1,1,0,100,"commercial",0,3.2,"Carni.",1,"LC",3111
"10016",0.0100499997846782,4347.6337890625,25.65,0.263000011444092,2.37064999341965,301.651000976562,292.487854003906,0.00300000002607703,0.00499999988824129,"Raiamas batesii",59693.6290896196,1,1,0,NA,NA,NA,NA,NA,1,"LC",695
"10021",0.0412000011652708,3435.68994140625,21,0.273575010150671,1.07124998867511,301.945648956299,294.264264678955,0.0020000000949949,0.00600000005215406,"Brycinus tholloni",36347.1672694018,NA,NA,0,NA,NA,NA,NA,NA,1,NA,422
"10022",0,1841.35400390625,49,0.252425009012222,4.06107487678528,301.572998046875,292.097100067139,0.00300000002607703,0.00527499993331728,"Perissodus eccentricus",34890.675799273,0,1,1,16.3999996185303," ",0,4.4,"Carni.",1,"DD",270
"10026",0,2999.5830078125,43,0.381449998915195,3.54957510828972,305.478575897217,289.860146331787,0.00300000002607703,0.00600000005215406,"Lacustricola jeanneli",38935.0378581571,NA,NA,0,NA,NA,NA,NA,NA,1,NA,340
"10028",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anguilla rostrata",914.534996287653,1,1,0,152,"commercial",1,3.62,"Carni.",2,"EN",0
"10029",0,2590.998046875,24.275,0.321725000441074,1.75912499129772,303.81298828125,292.881418609619,0.00300000002607703,0.00899999961256981,"Leptocypris guineensis",29677.6465600797,1,0,0,NA,NA,NA,NA,NA,1,"LC",350
"10031",0,1567.5419921875,43,0.704799997806549,2.91939997673035,302.962005615234,281.262603759766,0.00700000021606684,0.0120000001043081,"Chetia brevis",48528.3813857822,1,1,0,15,NA,0,3.81,"Carni.",3,"EN",505
"10032",0,3919.5419921875,49,0.820749989151955,4.4842999458313,302.670989990234,285.958897399902,0.00700000021606684,0.0109999999403954,"Aulonocara trematocephalum",29454.7533964954,0,1,1,9,"commercial",0,3.45,"Carni.",1,"DD",335
"10033",0,3912.49389648438,31.45,1.20690000653267,1.69710003733635,302.509411621094,291.006280517578,0.00802500036079437,0.00897499963175506,"Melanochromis vermivorus",166.814105678833,0,1,1,7.40000009536743,"commercial",0,2.67,"Omni.",1,"NT",2
"10034",0,5.71400022506714,34,0.554550015926361,2.19934998750687,306.316461181641,280.251690673828,0.0234500001184642,0.0240000002086163,"Abudefduf bengalensis",1683.48228925654,0,0,0,17,"minor commercial",1,3.08,"Carni.",2,"LC",19
"10035",0,30.7679996490479,40.45,0.607599996030331,3.23179996609688,302.742839813232,290.321990966797,0.00600000005215406,0.00999999977648258,"Acanthocybium solandri",2604.82570558153,0,0,0,250,"commercial",1,4.45,"Carni.",1,"LC",32
"10036",0,37.9370002746582,39.95,0.405849997699261,3.06014996767044,302.679238891602,290.333741760254,0.00400000018998981,0.00999999977648258,"Albula vulpes",3717.55041518366,1,0,0,104,"minor commercial",1,3.66,"Carni.",1,"NT",43
"10037",0,154.871002197266,40.1,0.653799995779991,3.11839996576309,302.710289001465,290.321990966797,0.00400000018998981,0.00999999977648258,"Amblycirrhitus bimacula",3202.7003734907,0,0,0,8.5,"commercial",1,NA,NA,1,"LC",39
"10038",0,555.129028320312,40.85,0.909800007939339,3.52330008745194,302.749240112305,285.075387573242,0.00400000018998981,0.0105499998666346,"Gymnothorax undulatus",3277.65005704734,1,0,0,150,"minor commercial",1,4.32,"Carni.",1,"LC",19
"10039",0.0144000006839633,5102.72509765625,15.1,0.145399998128414,1.06999996900558,300.320007324219,290.274002075195,0.0020000000949949,0.00400000018998981,"Haplochromis annectidens",16004.1584266989,0,1,1,6.69999980926514,NA,0,2,"Herbi.",1,"CR",157
"10040",1631.27001953125,4870.52197265625,0,0.384999990463257,0.386999994516373,297.547296142578,295.298303222656,0.0020000000949949,0.0020000000949949,"Haplochromis brownae",2839.85210169304,0,1,1,10.3999996185303,NA,0,3.87,"Carni.",1,"CR",29
"10041",1.54237502515316,4861.49609375,0,0.147725001350045,0.386999994516373,297.314450836182,293.851318359375,0.0020000000949949,0.0020000000949949,"Haplochromis simpsoni",2065.69812165707,1,0,0,11.3999996185303,NA,0,3.2,"Carni.",1,"EN",24
"10042",1.55625002980232,4861.49609375,0,0.147950001806021,0.386999994516373,297.281901550293,293.852142333984,0.0020000000949949,0.0020000000949949,"Haplochromis velifer",2409.91231275565,0,1,1,10.8000001907349,NA,0,3.2,"Carni.",1,"VU",27
"10043",0.0880749996751547,2538.38403320312,2,0.377524989843369,0.821225020289421,301.225937652588,295.221380615234,0.00507499990053475,0.00600000005215406,"Hemicaranx amblyrhynchus",343.218438387513,1,0,0,50,"minor commercial",1,NA,NA,1,"LC",4
"10044",0,47222.84765625,29.05,0.22960000410676,1.59359999299049,306.723999023438,293.575196838379,0.00300000002607703,0.00800000037997961,"Hemichromis guttatus",22496.9450437748,NA,NA,0,NA,NA,NA,NA,NA,1,NA,239
