"id_no","Qmi_2.5%","Qma_100.0%","Qzf_97.5%","Qcv_2.5%","Qcv_97.5%","Tma_97.5%","Tmi_2.5%","Tcv_2.5%","Tcv_97.5%","binomial","area","lotic","lentic","lentic_only","length","importance","marine","FoodTroph","foodtrophcat","climate_zone","code","no_cells"
"10000",0.689000010490417,2546.23803710938,0,1.44700002670288,1.44700002670288,302.916114807129,289.409999847412,0.00700000021606684,0.00899999961256981,"Docimodus evelynae",4694.31397546243,0,1,1,20.1000003814697,"commercial",0,3.38,"Carni.",1,"LC",56
"10001",0.833000004291534,789.304016113281,0,1.97599995136261,1.97599995136261,298.730402374268,293.855461120605,0.0020000000949949,0.00300000002607703,"Haplochromis parorthostoma",75275.99539497,0,1,1,NA,NA,NA,NA,NA,1,"DD",862
"10003",0,4317.0390625,34,0.100000001490116,1.74980000257492,305.752543640137,293.39739074707,0.00400000018998981,0.00899999961256981,"Synodontis ouemeensis",136372.584542648,1,1,0,NA,NA,NA,NA,NA,1,"LC",1423
"10005",0,702.642028808594,38.775,0.837150010466576,3.35279997587204,303.258168792725,292.079552459717,0.00400000018998981,0.00899999961256981,"Acentrogobius nebulosus",3834.52075646902,1,0,0,18,NA,1,NA,NA,1,NA,44
"10008",0.0026250000228174,14403.857421875,34.125,0.184000000357628,1.71499997377396,301.959125518799,295.309627532959,0.00300000002607703,0.00499999988824129,"Psammphiletria nasuta",6519.22319489193,1,1,0,NA,NA,NA,NA,NA,1,"DD",76
"10009",0,37367.671875,42,0.25,2.5947999715805,301.754208374023,295.589996337891,0.0020000000949949,0.00400000018998981,"Stomatorhinus humilior",272895.210147625,1,1,0,NA,NA,NA,NA,NA,1,"LC",2813
"10013",0,11302.232421875,40,0.143400001525879,2.78679995536804,308.095397949219,284.981005859375,0.0020000000949949,0.0209999997168779,"Mormyrus kannume",551290.983925896,1,1,0,100,"commercial",0,3.2,"Carni.",1,"LC",3137
"10016",0.0100499997846782,4742.22119140625,25.65,0.275350001454353,2.37064999341965,301.651000976562,292.487854003906,0.00300000002607703,0.00499999988824129,"Raiamas batesii",59693.6290896196,1,1,0,NA,NA,NA,NA,NA,1,"LC",695
"10021",0.0412000011652708,3435.68994140625,21,0.273575010150671,1.07124998867511,301.945648956299,294.264264678955,0.0020000000949949,0.00600000005215406,"Brycinus tholloni",36347.1672694018,NA,NA,0,NA,NA,NA,NA,NA,1,NA,422
"10022",0.417174992710352,703.588989257812,0,1.44200003147125,1.44200003147125,301.572998046875,292.190002441406,0.00300000002607703,0.00499999988824129,"Perissodus eccentricus",34890.675799273,0,1,1,16.3999996185303," ",0,4.4,"Carni.",1,"DD",404
"10026",0,3088.52807617188,39,0.405324999243021,2.34037501811981,305.696083831787,290.02935256958,0.00300000002607703,0.00700000021606684,"Lacustricola jeanneli",38935.0378581571,NA,NA,0,NA,NA,NA,NA,NA,1,NA,390
"10028",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anguilla rostrata",914.534996287653,1,1,0,152,"commercial",1,3.62,"Carni.",2,"EN",0
"10029",0,2590.998046875,24.275,0.321725000441074,1.75912499129772,303.813265228271,292.881418609619,0.00300000002607703,0.00827500016894189,"Leptocypris guineensis",29677.6465600797,1,0,0,NA,NA,NA,NA,NA,1,"LC",350
"10031",0,1567.5419921875,43,0.758799982070923,2.91939997673035,302.962005615234,281.262603759766,0.00700000021606684,0.0120000001043081,"Chetia brevis",48528.3813857822,1,1,0,15,NA,0,3.81,"Carni.",3,"EN",505
"10032",0.689000010490417,2546.23803710938,0,1.44700002670288,1.44700002670288,302.670989990234,289.403015136719,0.00700000021606684,0.00800000037997961,"Aulonocara trematocephalum",29454.7533964954,0,1,1,9,"commercial",0,3.45,"Carni.",1,"DD",350
"10033",0.689000010490417,2546.23803710938,0,1.44700002670288,1.44700002670288,302.509411621094,291.494344329834,0.00802500036079437,0.00897499963175506,"Melanochromis vermivorus",166.814105678833,0,1,1,7.40000009536743,"commercial",0,2.67,"Omni.",1,"NT",2
"10034",0,5.71400022506714,34,0.554550015926361,2.19934998750687,306.316461181641,280.251690673828,0.0234500001184642,0.0240000002086163,"Abudefduf bengalensis",1683.48228925654,0,0,0,17,"minor commercial",1,3.08,"Carni.",2,"LC",19
"10035",0,30.7679996490479,40.45,0.607599996030331,3.23179996609688,302.742839813232,290.321990966797,0.00600000005215406,0.00999999977648258,"Acanthocybium solandri",2604.82570558153,0,0,0,250,"commercial",1,4.45,"Carni.",1,"LC",32
"10036",0,37.9370002746582,39.95,0.405849997699261,3.06014996767044,302.679238891602,290.333741760254,0.00400000018998981,0.00999999977648258,"Albula vulpes",3717.55041518366,1,0,0,104,"minor commercial",1,3.66,"Carni.",1,"NT",43
"10037",0,154.871002197266,40.1,0.653799995779991,3.11839996576309,302.710289001465,290.321990966797,0.00400000018998981,0.00999999977648258,"Amblycirrhitus bimacula",3202.7003734907,0,0,0,8.5,"commercial",1,NA,NA,1,"LC",39
"10038",0,702.642028808594,40.85,1.04510000348091,3.52330008745194,302.736601257324,285.075387573242,0.00400000018998981,0.0105499998666346,"Gymnothorax undulatus",3277.65005704734,1,0,0,150,"minor commercial",1,4.32,"Carni.",1,"LC",19
"10039",0.0935000022873282,797.286010742188,2.875,0.146374998614192,1.97599995136261,316.630882263184,284.631362915039,0.0020000000949949,0.0212499999906868,"Haplochromis annectidens",16004.1584266989,0,1,1,6.69999980926514,NA,0,2,"Herbi.",1,"CR",166
"10040",0.833000004291534,797.286010742188,0,1.72230002880096,1.97599995136261,321.282189941406,283.000610351562,0.0020000000949949,0.0308999994769692,"Haplochromis brownae",2839.85210169304,0,1,1,10.3999996185303,NA,0,3.87,"Carni.",1,"CR",29
"10041",0.833000004291534,789.304016113281,0,0.147725001350045,1.97599995136261,297.661322021484,290.944799041748,0.0020000000949949,0.00370000007678755,"Haplochromis simpsoni",2065.69812165707,1,0,0,11.3999996185303,NA,0,3.2,"Carni.",1,"EN",24
"10042",0.833000004291534,789.304016113281,0,0.147950001806021,1.97599995136261,298.29690246582,288.98660736084,0.0020000000949949,0.00534999994561076,"Haplochromis velifer",2409.91231275565,0,1,1,10.8000001907349,NA,0,3.2,"Carni.",1,"VU",27
"10043",0.0880749996751547,2578.76489257812,2,0.381224997341633,0.821225020289421,301.225937652588,295.220449066162,0.00507499990053475,0.00600000005215406,"Hemicaranx amblyrhynchus",343.218438387513,1,0,0,50,"minor commercial",1,NA,NA,1,"LC",4
"10044",0,45328.32421875,44,0.229800004139543,3.1086499273777,306.487199401855,293.582596588135,0.0020000000949949,0.00800000037997961,"Hemichromis guttatus",22496.9450437748,NA,NA,0,NA,NA,NA,NA,NA,1,NA,240
"10045",0,6371.3427734375,42,0.346000004559755,3.14037507772446,304.670989990234,291.408386230469,0.00300000002607703,0.00825000030454248,"Hemiramphus brasiliensis",6918.78420651658,0,0,0,55,"minor commercial",1,2.8,"Carni.",1,"LC",76
"10046",0.0666000008583069,66.5589981079102,14.4,0.877200001478195,1.24600005149841,309.091305541992,285.189801025391,0.00760000003501773,0.0137999997474253,"Hemiramphus far",1831.15851166763,0,0,0,45,"commercial",1,2.69,"Omni.",3,NA,13
"10047",1.37509999871254,8.8129997253418,0,0.190249994397163,0.36599999666214,299.803900146484,293.986999511719,0.00405000017490238,0.00499999988824129,"Herklotsichthys quadrimaculatus",1101.27338035732,0,0,0,25,"minor commercial",1,3.26999998092651,"Carni.",2,"LC",3
"10049",0.00422500019194558,9.15200042724609,9.925,1.0959250330925,1.24947500228882,302.192609405518,286.477417755127,0.00529999986756593,0.0109249999281019,"Lactoria cornuta",677.564871641111,1,0,0,46,"of no interest",1,3.5,"Carni.",2,"LC",4
"10050",0,702.642028808594,40.7,1.05079996585846,3.57070004940033,302.726406860352,297.132098388672,0.00400000018998981,0.00400000018998981,"Leptoscarus vaigiensis",1547.4721850449,0,0,0,35.2000007629395,"commercial",1,2.27,"Omni.",1,"LC",13
"10051",0,7.26300001144409,31.775,0.691000016033649,1.77475002706051,302.698652648926,281.754825592041,0.0111749999690801,0.021824999852106,"Lithognathus mormyrus",1864.93677355887,0,0,0,55,"minor commercial",1,3.53,"Carni.",2,"LC",8
"10052",0,10.6999998092651,40.05,0.748349975794554,2.67787494659424,309.024932098389,291.771131134033,0.0074750002939254,0.0120000001043081,"Lutjanus bohar",3303.30261240767,1,0,0,90,"commercial",1,3.61999988555908,"Carni.",2,"LC",20
"10053",0,702.642028808594,39,0.439400005340576,2.77299995422363,308.178198242188,281.453991699219,0.00400000018998981,0.0240000002086163,"Lutjanus fulviflamma",10747.0779845367,1,0,0,50,"commercial",1,3.89,"Carni.",1,"LC",89
"10054",0.118100003153086,1.28299999237061,25.9,0.434999985992909,0.751350018382072,310.514646911621,292.839364624023,0.0160000007599592,0.0160000007599592,"Lutjanus griseus",2048.14066684581,0,0,0,89,"commercial",1,3.88,"Carni.",2,"LC",3
"10055",0,72.7429962158203,26.875,0.568125002086163,2.04600004851818,302.376499176025,292.512882232666,0.00400000018998981,0.00899999961256981,"Lutjanus monostigma",5263.57489276299,1,0,0,60,"commercial",1,4.27,"Carni.",2,"LC",26
"10056",0,30.7679996490479,40.4,0.614199995994568,3.2155999660492,302.738189697266,290.321990966797,0.00580000001937151,0.00999999977648258,"Lutjanus rivulatus",2690.65779383912,0,0,0,80,"commercial",1,4.04,"Carni.",1,"LC",33
"10057",0,30.7679996490479,40.45,0.607599996030331,3.23179996609688,302.742839813232,290.321990966797,0.00600000005215406,0.00999999977648258,"Macroramphosus scolopax",2604.82570558153,0,0,0,20,"commercial",1,3.47,"Carni.",1,"LC",32
"10058",0.0750000000000001,63.5779991149902,13.3,1.12610004544258,1.22109995484352,299.508088684082,283.12209777832,0.0149999996647239,0.0159500007051975,"Micropterus henshalli",387.865927449787,1,0,0,NA,NA,NA,NA,NA,3,"LC",3
"10059",0.0168000002391636,190.13200378418,25.425,0.88427502065897,1.6855499625206,298.348173522949,282.917896270752,0.00735000011045486,0.0109999999403954,"Osteomugil cunnesius",588.19990316498,1,0,0,41,"commercial",1,2.41,"Omni.",3,NA,8
"10060",0,120.692001342773,41.575,0.926799984276295,2.21195005178452,301.067053222656,286.507601928711,0.00685000019147992,0.00999999977648258,"Muraenesox bagio",1581.41071012483,1,0,0,200,"commercial",1,3.99,"Carni.",3,"LC",18
"10061",0,120.692001342773,41.075,0.839124979823828,2.50912494659424,308.981275177002,286.603610229492,0.00692500020377338,0.0120000001043081,"Muraenesox cinereus",4188.35467895879,1,1,0,220,"highly commercial",1,4.38,"Carni.",2,"LC",38
"10062",0,246.975006103516,18.25,0.78415000140667,1.28340001106262,300.665985107422,288.979200744629,0.00300000002607703,0.00300000002607703,"Myrichthys ocellatus",2061.63398433433,0,0,0,110,"commercial",1,3.66,"Carni.",1,"LC",23
"10063",0.116000001318753,37.9370002746582,6.425,0.409625010192394,0.779149982333183,300.731442260742,293.511735534668,0.00245000011636876,0.00400000018998981,"Myripristis jacobus",860.540719979983,0,0,0,25,"minor commercial",1,3.63,"Carni.",1,"LC",10
"10066",0.000600000005215406,17.1000003814697,37,0.267199993133545,2.97839999198914,310.801611328125,293.986999511719,0.00400000018998981,0.0130000002682209,"Ostorhinchus nigrofasciatus",3477.99737709597,0,0,0,10,NA,1,3.54,"Carni.",2,"LC",9
"10067",0,30.4729995727539,35.3,0.324700012803078,2.95070009231568,306.317987060547,292.45700378418,0.00690000019967556,0.00899999961256981,"Ostracion meleagris",3089.71827829719,0,0,0,25,"subsistence fisheries",1,2.71,"Omni.",1,"LC",37
"10068",0.00415000019129366,8.04199981689453,9.95,1.17270002961159,1.24965000152588,299.471343994141,286.429942321777,0.00904999962076545,0.0109499999321997,"Otolithes ruber",223.920384187244,1,0,0,90,"commercial",1,4.06,"Carni.",3,"LC",3
"10071",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parupeneus spilurus",367.95623878562,1,0,0,50,"commercial",1,NA,NA,2,"LC",0
"10072",0.0108999999240041,784.760986328125,39.1,0.17399999499321,2.11249997615814,300.265991210938,295.610346984863,0.0020000000949949,0.00300000002607703,"Petrocephalus arnegardi",5764.84169969557,NA,NA,0,NA,NA,NA,NA,NA,1,NA,59
"10073",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pisodonophis cancrivorus",367.95623878562,1,1,0,108,"minor commercial",1,NA,NA,2,"LC",0
"10074",0.0130499999504536,154.871002197266,34,0.91015000641346,1.76649996042252,302.156758117676,284.300146484375,0.00400000018998981,0.0106499998830259,"Plectroglyphidodon leucozonus",3257.62609274614,0,1,1,12,"of no interest",1,2,"Herbi.",2,"LC",15
"10075",0,12638.6572265625,37.325,0.252000004053116,2.15899991989136,308.884804534912,287.980352783203,0.0020000000949949,0.0120000001043081,"Pollimyrus isidori",13379.8321601581,1,1,0,10.3000001907349,"of no interest",0,2.61,"Omni.",1,"LC",108
"10076",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polyprion americanus",2258.29441694751,0,0,0,210,"minor commercial",1,4.14,"Carni.",2,"DD",0
"10077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pomadasys maculatus",672.717961801336,0,0,0,59.2999992370605,"commercial",1,4.04,"Carni.",2,"LC",0
"10078",0,860.083984375,41.125,0.428000003099442,3.00487491488457,304.670989990234,295.106994628906,0.00400000018998981,0.00700000021606684,"Pomadasys perotaei",3535.64439889571,1,0,0,36,"commercial",1,3.31,"Carni.",2,"LC",36
"10079",0,6371.3427734375,44,0.340700006484985,3.3289999961853,303.18798828125,295.513497924805,0.00300000002607703,0.00570000000298023,"Porogobius schlegelii",8654.73163637045,1,1,0,18.8999996185303,NA,1,2.89,"Carni.",1,"LC",93
"10080",0.000300000002607703,17.1000003814697,37.5,1.55710000991821,3.0106999874115,310.821810913086,295.860891723633,0.00939999967813492,0.0130000002682209,"Pristiapogon exostigma",3991.14644576492,0,0,0,12,NA,1,3.72,"Carni.",2,"LC",5
"10081",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudocaranx dentex",2626.25065573313,1,0,0,122,"commercial",1,3.66,"Carni.",2,"LC",0
"10082",0.252900006994605,61.7540016174316,16.85,0.373699997365475,1.00344999730587,302.26155090332,297.060046386719,0.00300000002607703,0.00400000018998981,"Pteroscion peli",1629.00162865826,1,0,0,32,"commercial",1,3.56,"Carni.",1,"LC",19
"10083",0.807200020551682,156.059005737305,0,0.577800005674362,0.752900016307831,301.075506591797,295.898007202148,0.00300000002607703,0.00400000018998981,"Pseudobatos lentiginosus",2483.82406564961,1,0,0,75,"subsistence fisheries",1,3.55,"Carni.",1,"VU",29
"10084",0,7.14400005340576,42.95,2.69349998235703,3.32430001497269,301.75419921875,284.120004272461,0.0072500002104789,0.0120000001043081,"Rhinobatos rhinobatos",4190.14462218611,1,0,0,185,"commercial",1,3.99,"Carni.",2,"CR",3
"10086",0,30.7679996490479,40.45,0.607599996030331,3.23179996609688,302.742839813232,290.321990966797,0.00600000005215406,0.00999999977648258,"Arothron stellatus",4674.38347693185,1,0,0,120,"of no interest",1,4.332,"Carni.",1,"LC",32
"10087",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sardinella zunasi",367.95623878562,0,0,0,18,"highly commercial",1,3.12,"Carni.",2,"LC",0
"10088",0.88360001295805,5.15000009536743,0,0.25832499191165,0.421724990010261,299.284429168701,293.986999511719,0.00400000018998981,0.00492499991087243,"Sargocentron tiereoides",342.706163848224,0,0,0,19.5,NA,1,3.55,"Carni.",1,"LC",4
"10089",0,2578.76489257812,21,0.395000010728836,1.42400002479553,301.247985839844,289.313995361328,0.00300000002607703,0.00600000005215406,"Scartella cristata",3608.42972099439,0,1,1,12,"of no interest",1,3.24,"Carni.",1,"LC",41
"10090",0.0764499999582767,154.871002197266,3.4,1.40454996228218,1.76274996399879,302.203761291504,294.608209228516,0.00400000018998981,0.00585000002756715,"Sebastapistes strongia",3131.15791715408,0,0,0,9.5,"of no interest",1,NA,NA,2,"LC",7
"10091",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Secutor insidiator",367.95623878562,NA,NA,0,NA,NA,NA,NA,NA,2,NA,0
"10092",0,18.1630001068115,34.475,0.924700005352497,1.90465005338192,300.913578033447,273.843952178955,0.00452500019455329,0.0230750003829598,"Seriola lalandi",641.404286577873,1,0,0,250,"minor commercial",1,3.85,"Carni.",3,"LC",8
"10093",0,10.6999998092651,40.05,0.748349975794554,2.67787494659424,309.024932098389,291.771131134033,0.0074750002939254,0.0120000001043081,"Siganus spinus",2606.94396883396,0,0,0,28,"minor commercial",1,2.04,"Herbi.",2,"LC",20
"10095",0,246.975006103516,18.25,0.78415000140667,1.28340001106262,300.665985107422,288.979200744629,0.00300000002607703,0.00300000002607703,"Sphyraena barracuda",4202.19985411454,0,0,0,200,"minor commercial",1,4.5,"Carni.",2,"LC",23
"10096",0.00954999998211862,3.95099997520447,41,0.757849970459938,3.07109997272491,304.113345336914,294.104037475586,0.0060500000603497,0.00700000021606684,"Sphyrna lewini",1666.043306158,0,0,0,430,"commercial",1,4.5,"Carni.",2,"CR",3
"10097",0.0628000020980835,1172.97595214844,9.40000000000001,0.0582000002264976,1.02760002613068,303.794207763672,294.424987792969,0.00400000018998981,0.00800000037997961,"Synaptura cadenati",3431.1758711232,0,0,0,35,"commercial",1,NA,NA,2,NA,17
"10098",0.0514250004664063,37.9370002746582,7.45,0.412875010073185,1.05862502902746,301.006988525391,293.540785217285,0.00227500007604249,0.00400000018998981,"Trachinocephalus myops",5925.94074006477,0,0,0,32.5999984741211,"minor commercial",1,4.17,"Carni.",2,"LC",12
"10099",0,702.642028808594,40.7,1.05079996585846,3.57070004940033,302.726406860352,297.132098388672,0.00400000018998981,0.00400000018998981,"Thalassoma hardwicke",1547.4721850449,0,0,0,25,"minor commercial",1,3.5,"Carni.",1,"LC",13
"10100",0,14.2270002365112,40.875,2.70380009412765,3.00019990205765,315.46167755127,293.680850982666,0.0131000002846122,0.0169000009074807,"Thunnus obesus",2891.19533284866,0,0,0,250,"highly commercial",1,4.48,"Carni.",2,"VU",2
